10 1.0000000000000000e+00 1.0000000000000000e+00
0 0 4.2093432764032157e+04 0.0000000000000000e+00
1 0 -5.7144989032988942e+03 0.0000000000000000e+00
2 0 1.0214701440753212e+04 0.0000000000000000e+00
3 0 4.1596336524818271e+03 0.0000000000000000e+00
4 0 3.8719203584594652e+01 0.0000000000000000e+00
5 0 -4.6894844155582791e+02 0.0000000000000000e+00
6 0 -2.2682595120029259e+03 0.0000000000000000e+00
7 0 -2.5518077737408353e+03 0.0000000000000000e+00
8 0 -1.8828840357301806e+02 0.0000000000000000e+00
9 0 1.9086125989742479e+03 0.0000000000000000e+00
10 0 -1.0358596420937824e+03 0.0000000000000000e+00
1 1 -1.7723355442902885e+04 -4.3962395099490686e+02
2 1 -4.6911511784150334e+03 2.2091798507580279e+02
3 1 -7.3833394152510664e+02 1.5776642728982613e+03
4 1 3.7405774646676844e+02 7.0640715991689049e+03
5 1 -9.6262069710203127e+02 -2.4859672739468219e+03
6 1 2.7138945647784919e+02 -4.2059730856999558e+03
7 1 -2.7412531701409489e+03 1.2810012546497410e+03
8 1 -2.9703800806647291e+02 1.6068837054387188e+03
9 1 6.6711501372720340e+02 1.7098474910635723e+03
10 1 -3.5941908277829134e+02 3.9830955231019584e+02
2 2 3.3813079592233707e+03 -1.8237296884580451e+02
3 2 -8.2242450405549480e+03 -2.8431737511665406e+03
4 2 -3.6747445629330491e+02 4.5247712993447230e+03
5 2 -7.7465512390248932e+02 2.7477258917662793e+03
6 2 1.7034421170877520e+03 -3.0637334276604261e+03
7 2 6.9135103565113309e+02 -2.7115839862956532e+03
8 2 -8.9959201080212461e+02 -9.9283706205784006e+02
9 2 2.2328905328062142e+03 1.7343221895586717e+03
10 2 8.1230921396014833e+02 -8.4344642804847820e+02
3 3 7.6848807924593548e+03 -1.2187741867801178e+03
4 3 1.7880322424056758e+03 -1.5313995820550635e+03
5 3 -4.2695483886797792e+03 2.9932599822253742e+03
6 3 -2.9430292588038137e+03 1.6107832257349733e+03
7 3 -2.1765063193441142e+02 3.0929372199827667e+03
8 3 -4.3906927683631056e+02 1.4122872187023281e+03
9 3 -1.1360676671082431e+03 3.7822110488519814e+02
10 3 8.1523468866200528e+02 -1.7477715844745264e+03
4 4 5.6966392574537504e+03 -1.8037007560841757e+03
5 4 -1.1813706961013609e+03 3.9402980238001521e+02
6 4 -2.2727734504697864e+03 3.8945122842011165e+02
7 4 -1.5249403968472841e+03 9.2801194030993554e+02
8 4 -9.2782392608942996e+02 -3.2202261296669030e+02
9 4 1.8100628667908256e+02 2.7298865267502406e+03
10 4 -6.8151242474036553e+02 2.2671884384257992e+03
5 5 3.8740694098333593e+03 3.5940287060525651e+02
6 5 -5.0786213284703936e+03 -1.0811847604586665e+03
7 5 -1.9798597343753984e+03 7.5356048872638326e+01
8 5 7.9437286566184093e+02 5.8090004292793344e+02
9 5 -2.6829030374836866e+03 -6.4491712358009522e+01
10 5 -4.9626427019040807e+02 3.5132930886671261e+03
6 6 -4.2256472993683678e+02 -1.0617702303168446e+03
7 6 -7.3147723379721483e+03 9.1843728670143196e+02
8 6 1.4478128500427372e+03 7.0276328200248497e+02
9 6 5.9755862459833679e+02 1.6521166578346424e+02
10 6 -1.1696795366029946e+03 9.5217385199232444e+02
7 7 -3.4336197451841977e+03 -2.5771934566868931e+03
8 7 -3.6673405982700538e+03 1.3931104352499237e+03
9 7 2.0641524915072182e+02 -7.7482916619975697e+02
10 7 2.1872781023241573e+03 1.3131673291474176e+03
8 8 -3.2312131739054648e+03 -2.6933372646259477e+02
9 8 -2.6396947610719775e+02 4.1606480465276468e+02
10 8 9.0163035778041956e+02 2.1770068801308207e+02
9 9 -2.1454357362306965e+02 6.2486305142648814e+02
10 9 -5.5485419774070692e+02 1.1131292109302549e+03
10 10 9.6992311944512119e+02 6.7982791201729185e+01
