10 1.0 1.0
   0  0  1737151.19826508  0.000000000000000
   1  0  138.128145257171  0.000000000000000
   1  1 -1025.10410466283 -421.682450404944
   2  0 -668.550134669254  0.000000000000000
   2  1 -768.907904943521 -16.9727303936450
   2  2  109.627681236354  383.112648612442
   3  0  63.2756464785335  0.000000000000000
   3  1  553.236197416871  87.5413775423892
   3  2  438.230665283503  188.561992523261
   3  3  405.666742930107 -6.16765791759657
   4  0  215.889934548028  0.000000000000000
   4  1 -225.066057390885 -47.9572298038856
   4  2 -327.365604395032 -101.305591413052
   4  3 -198.738022712167 -286.373561415148
   4  4 -191.283748393583  111.069602238953
   5  0 -115.237100370012  0.000000000000000
   5  1  29.7780532883223 -32.9819654737142
   5  2  179.915803167225  143.691268365873
   5  3  18.2775457969367  208.982790119228
   5  4  36.7914498398928  10.9892594802081
   5  5  122.009397978493 -76.9516618338401
   6  0  22.1186858051293  0.000000000000000
   6  1  108.220355762777 -130.283284805031
   6  2 -27.6010252471449 -78.6340753258405
   6  3 -58.7272010948126 -55.1160153374564
   6  4 -91.1228108794934 -132.150099627225
   6  5 -31.7291085848175 -155.926836536057
   6  6  13.5239179620697  117.205194433033
   7  0  79.6112979325609  0.000000000000000
   7  1  147.447894784194  52.4152227403360
   7  2  64.2625582627166  11.1707215861998
   7  3  16.9145630379808  72.1651026112955
   7  4 -0.444265954935909  29.7440660068481
   7  5 -29.5482294896310  90.0679813991597
   7  6 -79.6837060801936  33.3403971806157
   7  7  21.6350163893274 -16.0729310204585
   8  0  54.0495551386403  0.000000000000000
   8  1 -134.325824830318  25.8014023614621
   8  2 -3.77619459523230  40.5283165424098
   8  3  2.75747996671450  48.6146078082314
   8  4  112.965022950351 -15.9368424698269
   8  5  46.5799734909462  74.2545833019793
   8  6 -6.37814015712085 -20.8155238242277
   8  7  16.3524299387769  14.5708855218959
   8  8 -21.6437252439626  72.4171198246709
   9  0 -17.2043253207496  0.000000000000000
   9  1  82.9168331413090  20.8017403103001
   9  2  8.15267013057726 -31.3055999437762
   9  3 -9.95893372248725  11.8625393068114
   9  4 -101.881775098115 -57.0515531761862
   9  5 -67.7767715569716 -109.806090273333
   9  6  22.1911769532704 -20.4111312580615
   9  7 -24.8908329823620 -37.1997424189396
   9  8  94.0631458312314 -117.115395203786
   9  9  21.2714973091750  19.0274717275841
   10  0 -62.1734373067419  0.000000000000000
   10  1  31.5565828048958  9.68122102897974
   10  2 -12.2472039410464  31.4343125592083
   10  3  4.06855437716749 -69.0042205101782
   10  4 -21.9622071727344  52.7994436322544
   10  5  10.2140974252891  53.3735803231535
   10  6 -3.48131129800796  31.3280359691481
   10  7  34.3240733108849  37.9305282697325
   10  8  30.0979088711136  14.4343273349553
   10  9  41.6048833491965  0.193951920060450
   10  10  101.527296547091  12.0965794122336
